# Format: timestamp,récompense,longueur_épisode
1775032142.8867302,0.0,122
1775032203.7350981,0.0,122
1775032264.3254154,0.0,122
1775032325.0209591,0.0,122
1775032385.6330204,0.0,122
1775032446.2580256,0.0,122
1775032506.7591183,0.0,122
1775032567.4751058,0.0,122
1775032628.0931449,0.0,122
1775032688.6913853,0.0,122
1775032749.1590731,0.0,122
1775032809.6253033,0.0,122
1775032870.0881598,0.0,122
1775032930.8700726,0.0,122
1775032991.4883351,0.0,122
1775033051.9402800,0.0,122
1775033112.7559109,0.0,122
1775033173.2706580,0.0,122
1775033233.9401381,0.0,122
1775033294.7316108,0.0,122
1775033355.2962182,0.0,122
1775033415.9156213,0.0,122
1775033476.5118871,0.0,122
1775033537.0249729,0.0,122
1775033597.6608179,0.0,122
1775033658.1144361,0.0,122
1775033718.5773804,0.0,122
1775033779.0313265,0.0,122
1775033839.7737246,0.0,122
1775033900.3762321,0.0,122
1775033960.9965532,0.0,122
1775034021.7402222,0.0,122
1775034082.4455092,0.0,122
1775034142.9334040,0.0,122
1775034203.5679533,0.0,122
1775034264.1510632,0.0,122
1775034324.7208462,0.0,122
1775034385.1748931,0.0,122
1775034445.6257384,0.0,122
1775034506.2626600,0.0,122
1775034566.7226810,0.0,122
1775034627.2773492,0.0,122
1775034687.7340834,0.0,122
1775034748.3137865,0.0,122
1775034808.8830900,0.0,122
1775034869.4383185,0.0,122
1775034930.0455489,0.0,122
1775034990.6739640,0.0,122
1775035051.1644845,0.0,122
1775035111.7318413,0.0,122
1775035172.3510220,0.0,122
1775035232.9701157,0.0,122
1775035293.6176801,0.0,122
1775035354.2214518,0.0,122
1775035414.8520193,0.0,122
1775035475.5277081,0.0,122
1775035536.1463172,0.0,122
1775035596.8623939,0.0,122
1775035657.5897868,0.0,122
1775035718.1810658,0.0,122
1775035778.7174926,0.0,122
1775035839.3370898,0.0,122
1775035900.0758364,0.0,122
1775035960.7065923,0.0,122
1775036021.2752554,0.0,122
1775036081.8795526,0.0,122
1775036142.4925690,0.0,122
1775036203.1082935,0.0,122
1775036263.9057269,0.0,122
1775036324.5152860,0.0,122
1775036385.1062775,0.0,122
1775036445.7069225,0.0,122
1775036506.3773019,0.0,122
1775036566.8867509,0.0,122
1775036627.3669348,0.0,122
1775036690.4879529,0.0,122
1775036751.3304110,0.0,122
1775036812.0998933,0.0,122
1775036873.6009157,0.0,122
1775036934.1214180,0.0,122
1775036994.8237031,0.0,122
1775037055.5145850,0.0,122
1775037116.2324021,0.0,122
1775037177.1093721,0.0,122
1775037237.7572768,0.0,122
1775037298.2277408,0.0,122
1775037358.6951272,0.0,122
1775037419.3260608,0.0,122
1775037479.8208435,0.0,122
1775037540.4201374,0.0,122
1775037600.9249828,0.0,122
1775037661.5218647,0.0,122
1775037722.0761325,0.0,122
1775037782.7310658,0.0,122
1775037843.3503890,0.0,122
1775037903.9859729,0.0,122
1775037964.4773889,0.0,122
1775038025.1884909,0.0,122
1775038086.0969629,0.0,122
1775038146.7266695,0.0,122
1775038207.2453625,0.0,122
1775038267.8345349,0.0,122
1775038328.4495094,0.0,122
1775038389.0706844,0.0,122
1775038449.6739182,0.0,122
1775038510.2604539,0.0,122
1775038570.8841553,0.0,122
1775038631.4625962,0.0,122
1775038692.0944552,0.0,122
1775038752.7472932,0.0,122
1775038813.5363514,0.0,122
1775038874.1305985,0.0,122
1775038934.7069705,0.0,122
1775038995.4182475,0.0,122
1775039055.8921819,0.0,122
1775039116.5005457,0.0,122
1775039177.1238618,0.0,122
1775039237.6851590,0.0,122
1775039298.1527519,0.0,122
1775039358.9555645,0.0,122
1775039419.4263918,0.0,122
1775039480.0300007,0.0,122
1775039540.6017933,0.0,122
1775039601.1837406,0.0,122
1775039661.7706695,0.0,122
1775039722.3866484,0.0,122
1775039782.9810190,0.0,122
1775039843.5477729,0.0,122
1775039904.1190403,0.0,122
1775039964.7018914,0.0,122
1775040025.5349061,0.0,122
1775040086.0742462,0.0,122
1775040146.6863587,0.0,122
1775040207.3457823,0.0,122
1775040268.1176598,0.0,122
1775040328.7598188,0.0,122
1775040389.3964882,0.0,122
1775040450.0079713,0.0,122
1775040510.6346381,0.0,122
1775040571.5953443,0.0,122
1775040632.2780993,0.0,122
1775040692.9310105,0.0,122
1775040753.8428583,0.0,122
1775040814.4981542,0.0,122
1775040875.1472783,0.0,122
1775040935.7933533,0.0,122
1775040996.5102968,0.0,122
1775041056.9818294,0.0,122
1775041117.5060225,0.0,122
1775041178.0113704,0.0,122
1775041238.5679350,0.0,122
1775041299.1763382,0.0,122
1775041359.7659225,0.0,122
1775041420.3491640,0.0,122
1775041480.9717479,0.0,122
1775041541.4485028,0.0,122
1775041602.0077720,0.0,122
1775041662.6000373,0.0,122
1775041723.0697911,0.0,122
1775041783.6056387,0.0,122
1775041844.2001195,0.0,122
1775041904.7915952,0.0,122
1775041965.3796811,0.0,122
1775042025.9660854,0.0,122
1775042086.4106257,0.0,122
1775042146.9700723,0.0,122
1775042207.4071639,0.0,122
1775042267.8444054,0.0,122
1775042328.3567841,0.0,122
1775042389.1291218,0.0,122
1775042449.8187277,0.0,122
1775042510.6879151,0.0,122
1775042571.2759612,0.0,122
1775042631.8763475,0.0,122
1775042692.7592156,0.0,122
1775042753.2808018,0.0,122
1775042813.8450341,0.0,122
1775042874.7080624,0.0,122
1775042935.2940085,0.0,122
1775042996.1095510,0.0,122
1775043056.6313808,0.0,122
1775043117.1270325,0.0,122
1775043177.8992834,0.0,122
1775043238.5006504,0.0,122
1775043299.0445187,0.0,122
1775043359.7704577,0.0,122
1775043420.2268782,0.0,122
1775043480.8167667,0.0,122
1775043541.4881468,0.0,122
1775043602.2077055,0.0,122
1775043662.7948830,0.0,122
1775043723.2467654,0.0,122
1775043783.8331294,0.0,122
1775043844.4299886,0.0,122
1775043905.0085566,0.0,122
1775043965.5407357,0.0,122
1775044026.1348667,0.0,122
1775044086.6815779,0.0,122
1775044147.2686086,0.0,122
1775044207.8646076,0.0,122
1775044268.3616703,0.0,122
1775044329.2073076,0.0,122
1775044389.7454448,0.0,122
1775044450.3507171,0.0,122
1775044510.9463270,0.0,122
1775044571.5010839,0.0,122
1775044632.1980522,0.0,122
1775044693.2179766,0.0,122
1775044753.9793344,0.0,122
1775044814.6780283,0.0,122
1775044875.3806987,0.0,122
1775044935.9779198,0.0,122
1775044996.7459068,0.0,122
1775045057.3371353,0.0,122
1775045117.9355772,0.0,122
1775045178.5725529,0.0,122
1775045239.1761427,0.0,122
1775045299.7351341,0.0,122
1775045360.2353859,0.0,122
1775045420.7493486,0.0,122
1775045481.2234437,0.0,122
1775045541.9742441,0.0,122
1775045602.5291171,0.0,122
1775045663.1903422,0.0,122
1775045723.6340904,0.0,122
1775045784.2598534,0.0,122
1775045844.7212710,0.0,122
1775045905.2873373,0.0,122
1775045965.7796965,0.0,122
1775046026.2449007,0.0,122
1775046086.9741554,0.0,122
1775046147.5510452,0.0,122
1775046208.1076345,0.0,122
1775046268.6390169,0.0,122
1775046329.1808574,0.0,122
1775046389.7385561,0.0,122
1775046450.2988701,0.0,122
1775046510.8673873,0.0,122
1775046571.4094510,0.0,122
1775046631.8572605,0.0,122
1775046692.3136497,0.0,122
1775046752.9135432,0.0,122
1775046813.5320425,0.0,122
1775046873.9975910,0.0,122
1775046934.5527468,0.0,122
1775046995.1076853,0.0,122
1775047055.6130919,0.0,122
1775047116.0744832,0.0,122
1775047176.6214693,0.0,122
1775047237.0797997,0.0,122
1775047297.5533171,0.0,122
1775047358.0135555,0.0,122
1775047418.5739317,0.0,122
1775047479.1424818,0.0,122
1775047539.6133571,0.0,122
1775047600.1757860,0.0,122
1775047660.6309955,0.0,122
1775047722.7007713,0.0,122
1775047783.1981232,0.0,122
1775047843.6477025,0.0,122
1775047904.2832630,0.0,122
1775047964.9959204,0.0,122
1775048025.6406608,0.0,122
1775048086.2527084,0.0,122
1775048146.9333920,0.0,122
1775048207.6866424,0.0,122
1775048270.2289078,0.0,122
1775048332.3797147,0.0,122
1775048394.5049009,0.0,122
1775048456.9157667,0.0,122
1775048519.0059628,0.0,122
1775048581.1271996,0.0,122
1775048643.2829092,0.0,122
1775048705.4080372,0.0,122
1775048767.5377011,0.0,122
1775048830.1333423,0.0,122
1775048892.2537403,0.0,122
1775048954.3378317,0.0,122
1775049016.4729669,0.0,122
1775049078.6000602,0.0,122
1775049140.7722757,0.0,122
1775049202.9021871,0.0,122
1775049265.0334852,0.0,122
1775049325.6550429,0.0,122
1775049386.2103643,0.0,122
1775049446.7286885,0.0,122
1775049507.2781045,0.0,122
1775049567.8312955,0.0,122
1775049628.3761261,0.0,122
1775049688.9201772,0.0,122
1775049749.3787272,0.0,122
1775049809.9272668,0.0,122
1775049870.4651136,0.0,122
1775049930.9120915,0.0,122
1775049991.3770547,0.0,122
1775050051.8292172,0.0,122
1775050112.2997386,0.0,122
1775050172.8366148,0.0,122
1775050233.2955775,0.0,122
1775050293.8414295,0.0,122
1775050354.2977316,0.0,122
1775050414.7489216,0.0,122
1775050475.2117248,0.0,122
1775050535.6722336,0.0,122
1775050597.7026808,0.0,122
1775050659.8171494,0.0,122
